,math,h,gender,school,age,Exp,spat
128,2,0.71,1,4,8,Exp1,NA
129,2,0.78,1,6,8,Exp1,NA
130,2,0.79,1,2,9,Exp1,NA
131,2,0.79,1,2,9,Exp1,NA
132,2,0.79,1,4,9,Exp1,NA
133,2,0.86,1,4,9,Exp1,NA
134,2,0.87,1,4,9,Exp1,NA
135,2,0.88,1,6,8,Exp1,NA
136,2,0.88,1,2,9,Exp1,NA
137,2,0.88,1,4,9,Exp1,NA
138,2,0.89,1,2,9,Exp1,NA
139,2,0.89,1,1,8,Exp1,NA
140,2,0.89,1,3,9,Exp1,NA
141,2,0.9,1,3,8,Exp1,NA
142,2,1,1,2,8,Exp1,NA
143,2,1,1,3,9,Exp1,NA
144,2,1,1,3,9,Exp1,NA
145,2,1,1,4,9,Exp1,NA
146,3,-0.89,1,3,8,Exp1,NA
147,3,-0.65,1,4,9,Exp1,NA
148,3,-0.47,1,4,8,Exp1,NA
149,3,-0.37,1,2,9,Exp1,NA
150,3,-0.13,1,4,8,Exp1,NA
151,3,0.3,1,6,9,Exp1,NA
152,3,0.47,1,4,9,Exp1,NA
153,3,0.47,1,3,8,Exp1,NA
154,3,0.47,1,4,8,Exp1,NA
155,3,0.5,1,6,9,Exp1,NA
156,3,0.6,1,1,9,Exp1,NA
157,3,0.67,1,2,8,Exp1,NA
158,3,0.67,1,2,8,Exp1,NA
159,3,0.67,1,4,9,Exp1,NA
160,3,0.68,1,4,8,Exp1,NA
161,3,0.76,1,1,8,Exp1,NA
162,3,0.79,1,2,9,Exp1,NA
163,3,0.88,1,2,9,Exp1,NA
164,3,0.89,1,4,9,Exp1,NA
165,3,0.9,1,3,8,Exp1,NA
166,3,0.9,1,6,9,Exp1,NA
167,3,1,1,2,8,Exp1,NA
168,3,1,1,2,8,Exp1,NA
169,3,1,1,2,9,Exp1,NA
170,3,1,1,4,7,Exp1,NA
171,3,1,1,5,9,Exp1,NA
172,3,1,1,6,9,Exp1,NA
173,4,0.33,1,3,9,Exp1,NA
174,4,0.47,1,6,8,Exp1,NA
175,4,0.56,1,3,9,Exp1,NA
176,4,0.7,1,2,9,Exp1,NA
177,4,0.7,1,4,8,Exp1,NA
178,4,0.88,1,3,9,Exp1,NA
179,4,0.9,1,1,9,Exp1,NA
180,4,1,1,1,8,Exp1,NA
181,4,1,1,3,9,Exp1,NA
182,4,1,1,3,9,Exp1,NA
183,4,1,1,3,9,Exp1,NA
184,5,0.22,1,6,9,Exp1,NA
185,5,0.67,1,4,9,Exp1,NA
186,5,1,1,3,8,Exp1,NA
187,5,1,1,6,9,Exp1,NA
188,0,0.3,0,3,9,Exp1,NA
189,0,0.3,0,4,8,Exp1,NA
190,0,0.33,0,1,9,Exp1,NA
191,0,0.33,0,3,8,Exp1,NA
192,0,0.41,0,4,8,Exp1,NA
193,0,0.47,0,4,8,Exp1,NA
194,0,0.5,0,4,9,Exp1,NA
195,0,0.5,0,4,8,Exp1,NA
196,0,0.5,0,4,9,Exp1,NA
197,0,0.58,0,4,8,Exp1,NA
198,0,0.63,0,3,8,Exp1,NA
199,0,0.67,0,6,9,Exp1,NA
200,0,0.67,0,6,8,Exp1,NA
201,0,0.68,0,2,8,Exp1,NA
202,0,0.68,0,4,9,Exp1,NA
203,0,0.69,0,2,7,Exp1,NA
204,0,0.7,0,4,8,Exp1,NA
205,0,0.7,0,6,8,Exp1,NA
206,0,0.76,0,1,9,Exp1,NA
207,0,0.76,0,6,8,Exp1,NA
208,0,0.78,0,2,8,Exp1,NA
209,0,0.78,0,4,8,Exp1,NA
210,0,0.79,0,6,7,Exp1,NA
211,0,0.8,0,1,8,Exp1,NA
212,0,0.8,0,3,8,Exp1,NA
213,0,0.8,0,3,8,Exp1,NA
214,0,0.8,0,3,8,Exp1,NA
215,0,0.8,0,4,8,Exp1,NA
216,0,0.8,0,5,9,Exp1,NA
217,0,0.8,0,6,9,Exp1,NA
218,0,0.88,0,6,8,Exp1,NA
219,0,0.88,0,6,8,Exp1,NA
220,0,0.89,0,6,8,Exp1,NA
221,0,1,0,1,8,Exp1,NA
222,0,1,0,1,8,Exp1,NA
223,0,1,0,1,8,Exp1,NA
224,0,1,0,1,8,Exp1,NA
225,0,1,0,1,8,Exp1,NA
226,0,1,0,2,8,Exp1,NA
227,0,1,0,3,8,Exp1,NA
228,0,1,0,3,8,Exp1,NA
229,0,1,0,3,9,Exp1,NA
230,0,1,0,4,8,Exp1,NA
231,0,1,0,4,9,Exp1,NA
232,0,1,0,4,8,Exp1,NA
233,0,1,0,4,8,Exp1,NA
234,0,1,0,4,7,Exp1,NA
235,0,1,0,5,8,Exp1,NA
236,0,1,0,6,8,Exp1,NA
237,1,-1,0,1,8,Exp1,NA
238,1,-1,0,3,9,Exp1,NA
239,1,-0.89,0,4,9,Exp1,NA
240,1,-0.8,0,2,7,Exp1,NA
241,1,-0.58,0,2,8,Exp1,NA
242,1,-0.5,0,1,9,Exp1,NA
243,1,-0.1,0,5,9,Exp1,NA
244,1,0,0,5,9,Exp1,NA
245,1,0.22,0,3,8,Exp1,NA
246,1,0.3,0,4,8,Exp1,NA
247,1,0.37,0,3,8,Exp1,NA
248,1,0.43,0,2,8,Exp1,NA
249,1,0.5,0,2,8,Exp1,NA
250,1,0.5,0,4,8,Exp1,NA
251,1,0.5,0,4,8,Exp1,NA
252,1,0.5,0,6,8,Exp1,NA
253,1,0.53,0,4,9,Exp1,NA
254,1,0.53,0,6,8,Exp1,NA
255,1,0.56,0,6,8,Exp1,NA
256,1,0.6,0,3,8,Exp1,NA
257,1,0.6,0,4,8,Exp1,NA
258,1,0.6,0,6,8,Exp1,NA
259,1,0.63,0,6,9,Exp1,NA
260,1,0.65,0,6,8,Exp1,NA
261,1,0.65,0,6,9,Exp1,NA
262,1,0.67,0,4,8,Exp1,NA
263,1,0.68,0,6,7,Exp1,NA
264,1,0.7,0,1,9,Exp1,NA
265,1,0.7,0,2,9,Exp1,NA
266,1,0.7,0,3,8,Exp1,NA
267,1,0.7,0,6,9,Exp1,NA
268,1,0.71,0,6,8,Exp1,NA
